Source,Target,Label,Type
57,2,"Edge 57 to 2","Undirected"
58,36,"Edge 58 to 36","Undirected"
59,47,"Edge 59 to 47","Undirected"
60,47,"Edge 60 to 47","Undirected"
61,3,"Edge 61 to 3","Undirected"
62,25,"Edge 62 to 25","Undirected"
63,54,"Edge 63 to 54","Undirected"
64,50,"Edge 64 to 50","Undirected"
65,30,"Edge 65 to 30","Undirected"
66,32,"Edge 66 to 32","Undirected"
67,41,"Edge 67 to 41","Undirected"
68,23,"Edge 68 to 23","Undirected"
69,2,"Edge 69 to 2","Undirected"
69,93,"Edge 69 to 93","Undirected"
70,5,"Edge 70 to 5","Undirected"
71,30,"Edge 71 to 30","Undirected"
72,25,"Edge 72 to 25","Undirected"
73,53,"Edge 73 to 53","Undirected"
74,2,"Edge 74 to 2","Undirected"
75,6,"Edge 75 to 6","Undirected"
75,86,"Edge 75 to 86","Undirected"
76,3,"Edge 76 to 3","Undirected"
77,5,"Edge 77 to 5","Undirected"
77,96,"Edge 77 to 96","Undirected"
78,14,"Edge 78 to 14","Undirected"
79,6,"Edge 79 to 6","Undirected"
80,5,"Edge 80 to 5","Undirected"
81,1,"Edge 81 to 1","Undirected"
82,5,"Edge 82 to 5","Undirected"
82,89,"Edge 82 to 89","Undirected"
83,49,"Edge 83 to 49","Undirected"
84,15,"Edge 84 to 15","Undirected"
85,50,"Edge 85 to 50","Undirected"
86,75,"Edge 86 to 75","Undirected"
87,23,"Edge 87 to 23","Undirected"
88,36,"Edge 88 to 36","Undirected"
89,82,"Edge 89 to 82","Undirected"
90,4,"Edge 90 to 4","Undirected"
91,54,"Edge 91 to 54","Undirected"
92,23,"Edge 92 to 23","Undirected"
93,69,"Edge 93 to 69","Undirected"
94,4,"Edge 94 to 4","Undirected"
95,4,"Edge 95 to 4","Undirected"
96,77,"Edge 96 to 77","Undirected"
97,9,"Edge 97 to 9","Undirected"
98,3,"Edge 98 to 3","Undirected"
99,2,"Edge 99 to 2","Undirected"
100,3,"Edge 100 to 3","Undirected"
101,23,"Edge 101 to 23","Undirected"
