Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
54,"Node 54", 21.00, 2.00, 29.00, 0.00, 0.00
55,"Node 55", 28.00, 0.00, 24.00, 0.00, 0.00
56,"Node 56", 0.00, 0.00, 0.00, 0.00, 0.00
57,"Node 57", 28.00, 0.00, 24.00, 0.00, 0.00
58,"Node 58", 0.00, 0.00, 0.00, 0.00, 0.00
59,"Node 59", 33.00, 0.00, 19.00, 0.00, 0.00
60,"Node 60", 34.00, 0.00, 18.00, 0.00, 0.00
61,"Node 61", 0.00, 0.00, 0.00, 0.00, 0.00
62,"Node 62", 19.00, 4.00, 29.00, 0.00, 0.00
63,"Node 63", 20.00, 0.00, 32.00, 0.00, 0.00
64,"Node 64", 19.00, 30.00, 3.00, 0.00, 0.00
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00
66,"Node 66", 31.00, 0.00, 21.00, 0.00, 0.00
67,"Node 67", 20.00, 0.00, 32.00, 0.00, 0.00
68,"Node 68", 26.00, 2.00, 24.00, 0.00, 0.00
69,"Node 69", 32.00, 0.00, 20.00, 0.00, 0.00
70,"Node 70", 28.00, 0.00, 24.00, 0.00, 0.00
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00
72,"Node 72", 18.00, 0.00, 34.00, 0.00, 0.00
73,"Node 73", 25.00, 5.00, 22.00, 0.00, 0.00
74,"Node 74", 31.00, 0.00, 21.00, 0.00, 0.00
75,"Node 75", 34.00, 0.00, 18.00, 0.00, 0.00
76,"Node 76", 0.00, 0.00, 0.00, 0.00, 0.00
77,"Node 77", 32.00, 0.00, 20.00, 0.00, 0.00
78,"Node 78", 0.00, 0.00, 0.00, 0.00, 0.00
79,"Node 79", 29.00, 0.00, 23.00, 0.00, 0.00
80,"Node 80", 0.00, 0.00, 0.00, 0.00, 0.00
81,"Node 81", 24.00, 3.00, 25.00, 0.00, 0.00
82,"Node 82", 34.00, 0.00, 18.00, 0.00, 0.00
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00
84,"Node 84", 25.00, 1.00, 26.00, 0.00, 0.00
85,"Node 85", 21.00, 29.00, 2.00, 0.00, 0.00
86,"Node 86", 27.00, 3.00, 22.00, 0.00, 0.00
87,"Node 87", 25.00, 7.00, 20.00, 0.00, 0.00
88,"Node 88", 27.00, 10.00, 15.00, 0.00, 0.00
89,"Node 89", 25.00, 0.00, 27.00, 0.00, 0.00
90,"Node 90", 23.00, 3.00, 26.00, 0.00, 0.00
91,"Node 91", 21.00, 2.00, 29.00, 0.00, 0.00
92,"Node 92", 22.00, 6.00, 24.00, 0.00, 0.00
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00
94,"Node 94", 27.00, 3.00, 22.00, 0.00, 0.00
95,"Node 95", 20.00, 7.00, 25.00, 0.00, 0.00
96,"Node 96", 35.00, 0.00, 17.00, 0.00, 0.00
97,"Node 97", 26.00, 2.00, 24.00, 0.00, 0.00
98,"Node 98", 0.00, 0.00, 0.00, 0.00, 0.00
99,"Node 99", 0.00, 0.00, 0.00, 0.00, 0.00
100,"Node 100", 0.00, 0.00, 0.00, 0.00, 0.00
101,"Node 101", 21.00, 10.00, 21.00, 0.00, 0.00
