Source,Target,Label,Type
59,3,"Edge 59 to 3","Undirected"
60,33,"Edge 60 to 33","Undirected"
60,100,"Edge 60 to 100","Undirected"
61,7,"Edge 61 to 7","Undirected"
62,11,"Edge 62 to 11","Undirected"
62,92,"Edge 62 to 92","Undirected"
63,43,"Edge 63 to 43","Undirected"
64,4,"Edge 64 to 4","Undirected"
65,11,"Edge 65 to 11","Undirected"
66,38,"Edge 66 to 38","Undirected"
67,55,"Edge 67 to 55","Undirected"
68,7,"Edge 68 to 7","Undirected"
69,21,"Edge 69 to 21","Undirected"
70,21,"Edge 70 to 21","Undirected"
70,98,"Edge 70 to 98","Undirected"
71,3,"Edge 71 to 3","Undirected"
72,55,"Edge 72 to 55","Undirected"
73,11,"Edge 73 to 11","Undirected"
74,32,"Edge 74 to 32","Undirected"
75,11,"Edge 75 to 11","Undirected"
75,84,"Edge 75 to 84","Undirected"
76,55,"Edge 76 to 55","Undirected"
77,35,"Edge 77 to 35","Undirected"
78,31,"Edge 78 to 31","Undirected"
79,11,"Edge 79 to 11","Undirected"
80,38,"Edge 80 to 38","Undirected"
81,55,"Edge 81 to 55","Undirected"
82,4,"Edge 82 to 4","Undirected"
83,40,"Edge 83 to 40","Undirected"
84,75,"Edge 84 to 75","Undirected"
85,57,"Edge 85 to 57","Undirected"
86,7,"Edge 86 to 7","Undirected"
87,13,"Edge 87 to 13","Undirected"
88,57,"Edge 88 to 57","Undirected"
89,43,"Edge 89 to 43","Undirected"
90,31,"Edge 90 to 31","Undirected"
90,99,"Edge 90 to 99","Undirected"
91,6,"Edge 91 to 6","Undirected"
92,62,"Edge 92 to 62","Undirected"
93,12,"Edge 93 to 12","Undirected"
94,2,"Edge 94 to 2","Undirected"
95,13,"Edge 95 to 13","Undirected"
96,27,"Edge 96 to 27","Undirected"
97,28,"Edge 97 to 28","Undirected"
98,70,"Edge 98 to 70","Undirected"
99,90,"Edge 99 to 90","Undirected"
100,60,"Edge 100 to 60","Undirected"
