Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
81,"Node 81", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  2
82,"Node 82", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
83,"Node 83", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
84,"Node 84", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
85,"Node 85", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
86,"Node 86", 30.00, 0.00, 22.00, 0.00, 0.00,  0,  1
87,"Node 87", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
88,"Node 88", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
89,"Node 89", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
90,"Node 90", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  2
91,"Node 91", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
92,"Node 92", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  2
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
94,"Node 94", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
95,"Node 95", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  2
96,"Node 96", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
97,"Node 97", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
98,"Node 98", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
99,"Node 99", 35.00, 0.00, 17.00, 0.00, 0.00,  0,  1
100,"Node 100", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
