Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
84,"Node 84", 9.00, 38.00, 5.00, 0.00, 0.00
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00
86,"Node 86", 0.00, 0.00, 0.00, 0.00, 0.00
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00
88,"Node 88", 7.00, 44.00, 1.00, 0.00, 0.00
89,"Node 89", 11.00, 35.00, 6.00, 0.00, 0.00
90,"Node 90", 0.00, 0.00, 0.00, 0.00, 0.00
91,"Node 91", 0.00, 0.00, 0.00, 0.00, 0.00
92,"Node 92", 10.00, 41.00, 1.00, 0.00, 0.00
93,"Node 93", 10.00, 28.00, 14.00, 0.00, 0.00
94,"Node 94", 16.00, 34.00, 2.00, 0.00, 0.00
95,"Node 95", 18.00, 32.00, 2.00, 0.00, 0.00
96,"Node 96", 0.00, 0.00, 0.00, 0.00, 0.00
97,"Node 97", 14.00, 35.00, 3.00, 0.00, 0.00
98,"Node 98", 28.00, 17.00, 7.00, 0.00, 0.00
99,"Node 99", 11.00, 17.00, 24.00, 0.00, 0.00
100,"Node 100", 28.00, 15.00, 9.00, 0.00, 0.00
101,"Node 101", 12.00, 38.00, 2.00, 0.00, 0.00
