Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
81,"Node 81", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  2
82,"Node 82", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  1
83,"Node 83", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  2
84,"Node 84", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  2
85,"Node 85", 24.00, 0.00, 28.00, 0.00, 0.00,  0,  2
86,"Node 86", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  1
87,"Node 87", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
88,"Node 88", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  2
89,"Node 89", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  1
90,"Node 90", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  2
91,"Node 91", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  1
92,"Node 92", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  2
93,"Node 93", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  1
94,"Node 94", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
95,"Node 95", 24.00, 0.00, 28.00, 0.00, 0.00,  0,  1
96,"Node 96", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  2
97,"Node 97", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
98,"Node 98", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  2
99,"Node 99", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
100,"Node 100", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
