Source,Target,Label,Type
14,61,"Edge 14 to 61","Mixed"
14,69,"Edge 14 to 69","Mixed"
15,1,"Edge 15 to 1","Mixed"
15,14,"Edge 15 to 14","Mixed"
16,1,"Edge 16 to 1","Mixed"
16,7,"Edge 16 to 7","Mixed"
16,20,"Edge 16 to 20","Mixed"
16,98,"Edge 16 to 98","Mixed"
17,5,"Edge 17 to 5","Mixed"
17,11,"Edge 17 to 11","Mixed"
17,23,"Edge 17 to 23","Mixed"
17,59,"Edge 17 to 59","Mixed"
18,1,"Edge 18 to 1","Mixed"
18,6,"Edge 18 to 6","Mixed"
18,25,"Edge 18 to 25","Mixed"
18,43,"Edge 18 to 43","Mixed"
18,44,"Edge 18 to 44","Mixed"
18,51,"Edge 18 to 51","Mixed"
18,66,"Edge 18 to 66","Mixed"
18,84,"Edge 18 to 84","Mixed"
18,93,"Edge 18 to 93","Mixed"
19,4,"Edge 19 to 4","Mixed"
19,10,"Edge 19 to 10","Mixed"
20,2,"Edge 20 to 2","Mixed"
20,16,"Edge 20 to 16","Mixed"
21,3,"Edge 21 to 3","Mixed"
21,4,"Edge 21 to 4","Mixed"
21,50,"Edge 21 to 50","Mixed"
21,55,"Edge 21 to 55","Mixed"
21,74,"Edge 21 to 74","Mixed"
21,96,"Edge 21 to 96","Mixed"
22,1,"Edge 22 to 1","Mixed"
22,2,"Edge 22 to 2","Mixed"
22,41,"Edge 22 to 41","Mixed"
22,47,"Edge 22 to 47","Mixed"
22,53,"Edge 22 to 53","Mixed"
22,79,"Edge 22 to 79","Mixed"
23,8,"Edge 23 to 8","Mixed"
23,17,"Edge 23 to 17","Mixed"
23,49,"Edge 23 to 49","Mixed"
23,70,"Edge 23 to 70","Mixed"
23,96,"Edge 23 to 96","Mixed"
24,1,"Edge 24 to 1","Mixed"
24,8,"Edge 24 to 8","Mixed"
25,10,"Edge 25 to 10","Mixed"
25,18,"Edge 25 to 18","Mixed"
25,31,"Edge 25 to 31","Mixed"
25,71,"Edge 25 to 71","Mixed"
25,80,"Edge 25 to 80","Mixed"
25,82,"Edge 25 to 82","Mixed"
26,3,"Edge 26 to 3","Mixed"
26,7,"Edge 26 to 7","Mixed"
26,33,"Edge 26 to 33","Mixed"
27,1,"Edge 27 to 1","Mixed"
