Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
81,"Node 81", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
82,"Node 82", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
83,"Node 83", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
84,"Node 84", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
85,"Node 85", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
86,"Node 86", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
87,"Node 87", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
88,"Node 88", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
89,"Node 89", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
90,"Node 90", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  1
91,"Node 91", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
92,"Node 92", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
93,"Node 93", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
94,"Node 94", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
95,"Node 95", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
96,"Node 96", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
97,"Node 97", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  2
98,"Node 98", 35.00, 0.00, 17.00, 0.00, 0.00,  0,  2
99,"Node 99", 29.00, 0.00, 23.00, 0.00, 0.00,  0,  2
100,"Node 100", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
