Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
88,"Node 88", 17.00, 18.00, 17.00, 0.00, 0.00,  1
89,"Node 89", 18.00, 17.00, 17.00, 0.00, 0.00,  1
90,"Node 90", 22.00, 13.00, 17.00, 0.00, 0.00,  2
91,"Node 91", 28.00, 4.00, 20.00, 0.00, 0.00,  2
92,"Node 92", 18.00, 18.00, 16.00, 0.00, 0.00,  2
93,"Node 93", 10.00, 9.00, 33.00, 0.00, 0.00,  2
94,"Node 94", 19.00, 13.00, 20.00, 0.00, 0.00,  2
95,"Node 95", 22.00, 9.00, 21.00, 0.00, 0.00,  2
96,"Node 96", 0.00, 0.00, 0.00, 0.00, 0.00,  0
97,"Node 97", 18.00, 8.00, 26.00, 0.00, 0.00,  2
98,"Node 98", 15.00, 7.00, 30.00, 0.00, 0.00,  2
99,"Node 99", 13.00, 2.00, 37.00, 0.00, 0.00,  2
100,"Node 100", 20.00, 2.00, 30.00, 0.00, 0.00,  1
101,"Node 101", 22.00, 18.00, 12.00, 0.00, 0.00,  2
