Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
72,"Node 72", 13.00, 0.00, 33.00, 6.00, 0.00,  0,  1
73,"Node 73", 3.00, 0.00, 47.00, 2.00, 0.00,  0,  1
74,"Node 74", 20.00, 0.00, 24.00, 8.00, 0.00,  0,  1
75,"Node 75", 6.00, 0.00, 39.00, 7.00, 0.00,  0,  1
76,"Node 76", 5.00, 0.00, 42.00, 5.00, 0.00,  0,  1
77,"Node 77", 5.00, 0.00, 41.00, 6.00, 0.00,  0,  1
78,"Node 78", 10.00, 0.00, 38.00, 4.00, 0.00,  0,  1
79,"Node 79", 5.00, 0.00, 35.00, 12.00, 0.00,  0,  1
80,"Node 80", 5.00, 0.00, 35.00, 12.00, 0.00,  0,  1
81,"Node 81", 7.00, 0.00, 42.00, 3.00, 0.00,  0,  1
82,"Node 82", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
83,"Node 83", 19.00, 0.00, 26.00, 7.00, 0.00,  0,  1
84,"Node 84", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
85,"Node 85", 9.00, 0.00, 32.00, 11.00, 0.00,  0,  1
86,"Node 86", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
87,"Node 87", 9.00, 0.00, 42.00, 1.00, 0.00,  0,  1
88,"Node 88", 23.00, 0.00, 24.00, 5.00, 0.00,  0,  1
89,"Node 89", 12.00, 0.00, 39.00, 1.00, 0.00,  0,  1
90,"Node 90", 5.00, 0.00, 41.00, 6.00, 0.00,  0,  1
91,"Node 91", 10.00, 0.00, 32.00, 10.00, 0.00,  0,  1
92,"Node 92", 16.00, 0.00, 29.00, 7.00, 0.00,  0,  1
93,"Node 93", 7.00, 0.00, 31.00, 14.00, 0.00,  0,  1
94,"Node 94", 21.00, 0.00, 27.00, 4.00, 0.00,  0,  1
95,"Node 95", 5.00, 0.00, 39.00, 8.00, 0.00,  0,  1
96,"Node 96", 21.00, 0.00, 24.00, 7.00, 0.00,  0,  1
97,"Node 97", 11.00, 0.00, 30.00, 11.00, 0.00,  0,  1
98,"Node 98", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
99,"Node 99", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
100,"Node 100", 4.00, 0.00, 36.00, 12.00, 0.00,  0,  2
