Source,Target,Label,Type
32,35,"Edge 32 to 35","Mixed"
33,9,"Edge 33 to 9","Mixed"
33,15,"Edge 33 to 15","Mixed"
33,40,"Edge 33 to 40","Mixed"
33,46,"Edge 33 to 46","Mixed"
33,47,"Edge 33 to 47","Mixed"
33,49,"Edge 33 to 49","Mixed"
34,4,"Edge 34 to 4","Mixed"
34,19,"Edge 34 to 19","Mixed"
35,26,"Edge 35 to 26","Mixed"
35,32,"Edge 35 to 32","Mixed"
36,5,"Edge 36 to 5","Mixed"
36,11,"Edge 36 to 11","Mixed"
37,3,"Edge 37 to 3","Mixed"
37,5,"Edge 37 to 5","Mixed"
37,45,"Edge 37 to 45","Mixed"
38,9,"Edge 38 to 9","Mixed"
38,23,"Edge 38 to 23","Mixed"
39,6,"Edge 39 to 6","Mixed"
39,21,"Edge 39 to 21","Mixed"
40,4,"Edge 40 to 4","Mixed"
40,33,"Edge 40 to 33","Mixed"
41,3,"Edge 41 to 3","Mixed"
41,6,"Edge 41 to 6","Mixed"
42,13,"Edge 42 to 13","Mixed"
42,14,"Edge 42 to 14","Mixed"
42,50,"Edge 42 to 50","Mixed"
43,4,"Edge 43 to 4","Mixed"
43,25,"Edge 43 to 25","Mixed"
44,8,"Edge 44 to 8","Mixed"
44,19,"Edge 44 to 19","Mixed"
45,3,"Edge 45 to 3","Mixed"
45,37,"Edge 45 to 37","Mixed"
46,16,"Edge 46 to 16","Mixed"
46,33,"Edge 46 to 33","Mixed"
47,10,"Edge 47 to 10","Mixed"
47,33,"Edge 47 to 33","Mixed"
48,1,"Edge 48 to 1","Mixed"
48,5,"Edge 48 to 5","Mixed"
49,22,"Edge 49 to 22","Mixed"
49,33,"Edge 49 to 33","Mixed"
50,5,"Edge 50 to 5","Mixed"
50,42,"Edge 50 to 42","Mixed"
