Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
81,"Node 81", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
82,"Node 82", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
83,"Node 83", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  1
84,"Node 84", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
85,"Node 85", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
86,"Node 86", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
87,"Node 87", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
88,"Node 88", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
89,"Node 89", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
90,"Node 90", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  1
91,"Node 91", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
92,"Node 92", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
93,"Node 93", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
94,"Node 94", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
95,"Node 95", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
96,"Node 96", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
97,"Node 97", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  1
98,"Node 98", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
99,"Node 99", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
100,"Node 100", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
