Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
81,"Node 81", 190.00, 0.00, 16.00, 2.00, 0.00,  0,  2
82,"Node 82", 174.00, 0.00, 33.00, 1.00, 0.00,  0,  2
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
84,"Node 84", 185.00, 0.00, 23.00, 0.00, 0.00,  0,  2
85,"Node 85", 166.00, 0.00, 41.00, 1.00, 0.00,  0,  1
86,"Node 86", 147.00, 0.00, 59.00, 2.00, 0.00,  0,  2
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
88,"Node 88", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
89,"Node 89", 191.00, 0.00, 17.00, 0.00, 0.00,  0,  2
90,"Node 90", 178.00, 0.00, 30.00, 0.00, 0.00,  0,  2
91,"Node 91", 186.00, 0.00, 22.00, 0.00, 0.00,  0,  1
92,"Node 92", 182.00, 0.00, 25.00, 1.00, 0.00,  0,  2
93,"Node 93", 187.00, 0.00, 19.00, 2.00, 0.00,  0,  2
94,"Node 94", 176.00, 0.00, 31.00, 1.00, 0.00,  0,  2
95,"Node 95", 174.00, 0.00, 32.00, 2.00, 0.00,  0,  1
96,"Node 96", 192.00, 0.00, 14.00, 2.00, 0.00,  0,  2
97,"Node 97", 180.00, 0.00, 27.00, 1.00, 0.00,  0,  2
98,"Node 98", 155.00, 0.00, 53.00, 0.00, 0.00,  0,  1
99,"Node 99", 157.00, 0.00, 51.00, 0.00, 0.00,  0,  2
100,"Node 100", 190.00, 0.00, 17.00, 1.00, 0.00,  0,  2
