Source,Target,Label,Type
9,426,"Edge 9 to 426","Undirected"
9,507,"Edge 9 to 507","Undirected"
9,519,"Edge 9 to 519","Undirected"
9,520,"Edge 9 to 520","Undirected"
9,533,"Edge 9 to 533","Undirected"
9,593,"Edge 9 to 593","Undirected"
9,626,"Edge 9 to 626","Undirected"
9,753,"Edge 9 to 753","Undirected"
9,763,"Edge 9 to 763","Undirected"
9,799,"Edge 9 to 799","Undirected"
9,817,"Edge 9 to 817","Undirected"
9,882,"Edge 9 to 882","Undirected"
9,895,"Edge 9 to 895","Undirected"
10,9,"Edge 10 to 9","Undirected"
10,11,"Edge 10 to 11","Undirected"
10,60,"Edge 10 to 60","Undirected"
10,195,"Edge 10 to 195","Undirected"
10,367,"Edge 10 to 367","Undirected"
11,10,"Edge 11 to 10","Undirected"
11,14,"Edge 11 to 14","Undirected"
11,30,"Edge 11 to 30","Undirected"
11,121,"Edge 11 to 121","Undirected"
11,160,"Edge 11 to 160","Undirected"
11,197,"Edge 11 to 197","Undirected"
11,215,"Edge 11 to 215","Undirected"
11,218,"Edge 11 to 218","Undirected"
11,220,"Edge 11 to 220","Undirected"
11,339,"Edge 11 to 339","Undirected"
11,358,"Edge 11 to 358","Undirected"
11,462,"Edge 11 to 462","Undirected"
11,600,"Edge 11 to 600","Undirected"
11,675,"Edge 11 to 675","Undirected"
11,692,"Edge 11 to 692","Undirected"
11,740,"Edge 11 to 740","Undirected"
11,803,"Edge 11 to 803","Undirected"
11,871,"Edge 11 to 871","Undirected"
11,881,"Edge 11 to 881","Undirected"
11,932,"Edge 11 to 932","Undirected"
12,2,"Edge 12 to 2","Undirected"
12,13,"Edge 12 to 13","Undirected"
12,85,"Edge 12 to 85","Undirected"
12,112,"Edge 12 to 112","Undirected"
12,144,"Edge 12 to 144","Undirected"
12,183,"Edge 12 to 183","Undirected"
12,230,"Edge 12 to 230","Undirected"
12,293,"Edge 12 to 293","Undirected"
12,468,"Edge 12 to 468","Undirected"
12,749,"Edge 12 to 749","Undirected"
13,12,"Edge 13 to 12","Undirected"
13,273,"Edge 13 to 273","Undirected"
13,284,"Edge 13 to 284","Undirected"
13,333,"Edge 13 to 333","Undirected"
13,770,"Edge 13 to 770","Undirected"
14,11,"Edge 14 to 11","Undirected"
14,50,"Edge 14 to 50","Undirected"
14,118,"Edge 14 to 118","Undirected"
14,132,"Edge 14 to 132","Undirected"
14,338,"Edge 14 to 338","Undirected"
14,352,"Edge 14 to 352","Undirected"
14,382,"Edge 14 to 382","Undirected"
14,488,"Edge 14 to 488","Undirected"
14,561,"Edge 14 to 561","Undirected"
14,598,"Edge 14 to 598","Undirected"
14,676,"Edge 14 to 676","Undirected"
14,903,"Edge 14 to 903","Undirected"
14,914,"Edge 14 to 914","Undirected"
15,9,"Edge 15 to 9","Undirected"
15,24,"Edge 15 to 24","Undirected"
15,32,"Edge 15 to 32","Undirected"
15,48,"Edge 15 to 48","Undirected"
15,101,"Edge 15 to 101","Undirected"
15,213,"Edge 15 to 213","Undirected"
15,233,"Edge 15 to 233","Undirected"
15,379,"Edge 15 to 379","Undirected"
15,667,"Edge 15 to 667","Undirected"
16,6,"Edge 16 to 6","Undirected"
16,19,"Edge 16 to 19","Undirected"
16,22,"Edge 16 to 22","Undirected"
16,42,"Edge 16 to 42","Undirected"
16,59,"Edge 16 to 59","Undirected"
16,61,"Edge 16 to 61","Undirected"
16,75,"Edge 16 to 75","Undirected"
16,148,"Edge 16 to 148","Undirected"
16,164,"Edge 16 to 164","Undirected"
16,236,"Edge 16 to 236","Undirected"
16,366,"Edge 16 to 366","Undirected"
16,374,"Edge 16 to 374","Undirected"
16,401,"Edge 16 to 401","Undirected"
16,465,"Edge 16 to 465","Undirected"
16,543,"Edge 16 to 543","Undirected"
16,595,"Edge 16 to 595","Undirected"
16,637,"Edge 16 to 637","Undirected"
16,711,"Edge 16 to 711","Undirected"
16,768,"Edge 16 to 768","Undirected"
16,805,"Edge 16 to 805","Undirected"
16,806,"Edge 16 to 806","Undirected"
16,841,"Edge 16 to 841","Undirected"
16,842,"Edge 16 to 842","Undirected"
16,852,"Edge 16 to 852","Undirected"
16,878,"Edge 16 to 878","Undirected"
16,945,"Edge 16 to 945","Undirected"
17,2,"Edge 17 to 2","Undirected"
18,1,"Edge 18 to 1","Undirected"
18,65,"Edge 18 to 65","Undirected"
18,198,"Edge 18 to 198","Undirected"
18,228,"Edge 18 to 228","Undirected"
18,373,"Edge 18 to 373","Undirected"
19,16,"Edge 19 to 16","Undirected"
19,21,"Edge 19 to 21","Undirected"
19,26,"Edge 19 to 26","Undirected"
19,29,"Edge 19 to 29","Undirected"
19,31,"Edge 19 to 31","Undirected"
19,46,"Edge 19 to 46","Undirected"
19,55,"Edge 19 to 55","Undirected"
19,56,"Edge 19 to 56","Undirected"
19,69,"Edge 19 to 69","Undirected"
19,70,"Edge 19 to 70","Undirected"
19,92,"Edge 19 to 92","Undirected"
19,113,"Edge 19 to 113","Undirected"
19,120,"Edge 19 to 120","Undirected"
19,122,"Edge 19 to 122","Undirected"
19,128,"Edge 19 to 128","Undirected"
19,147,"Edge 19 to 147","Undirected"
19,153,"Edge 19 to 153","Undirected"
19,191,"Edge 19 to 191","Undirected"
19,266,"Edge 19 to 266","Undirected"
19,307,"Edge 19 to 307","Undirected"
19,320,"Edge 19 to 320","Undirected"
19,410,"Edge 19 to 410","Undirected"
