Source,Target,Label,Type
57,2,"Edge 57 to 2","Mixed"
58,36,"Edge 58 to 36","Mixed"
59,47,"Edge 59 to 47","Mixed"
60,47,"Edge 60 to 47","Mixed"
61,3,"Edge 61 to 3","Mixed"
62,25,"Edge 62 to 25","Mixed"
63,54,"Edge 63 to 54","Mixed"
64,50,"Edge 64 to 50","Mixed"
65,30,"Edge 65 to 30","Mixed"
66,32,"Edge 66 to 32","Mixed"
67,41,"Edge 67 to 41","Mixed"
68,23,"Edge 68 to 23","Mixed"
69,2,"Edge 69 to 2","Mixed"
69,93,"Edge 69 to 93","Mixed"
70,5,"Edge 70 to 5","Mixed"
71,30,"Edge 71 to 30","Mixed"
72,25,"Edge 72 to 25","Mixed"
73,53,"Edge 73 to 53","Mixed"
74,2,"Edge 74 to 2","Mixed"
75,6,"Edge 75 to 6","Mixed"
75,86,"Edge 75 to 86","Mixed"
76,3,"Edge 76 to 3","Mixed"
77,5,"Edge 77 to 5","Mixed"
77,96,"Edge 77 to 96","Mixed"
78,14,"Edge 78 to 14","Mixed"
79,6,"Edge 79 to 6","Mixed"
80,5,"Edge 80 to 5","Mixed"
81,1,"Edge 81 to 1","Mixed"
82,5,"Edge 82 to 5","Mixed"
82,89,"Edge 82 to 89","Mixed"
83,49,"Edge 83 to 49","Mixed"
84,15,"Edge 84 to 15","Mixed"
85,50,"Edge 85 to 50","Mixed"
86,75,"Edge 86 to 75","Mixed"
87,23,"Edge 87 to 23","Mixed"
88,36,"Edge 88 to 36","Mixed"
89,82,"Edge 89 to 82","Mixed"
90,4,"Edge 90 to 4","Mixed"
91,54,"Edge 91 to 54","Mixed"
92,23,"Edge 92 to 23","Mixed"
93,69,"Edge 93 to 69","Mixed"
94,4,"Edge 94 to 4","Mixed"
95,4,"Edge 95 to 4","Mixed"
96,77,"Edge 96 to 77","Mixed"
97,9,"Edge 97 to 9","Mixed"
98,3,"Edge 98 to 3","Mixed"
99,2,"Edge 99 to 2","Mixed"
100,3,"Edge 100 to 3","Mixed"
101,23,"Edge 101 to 23","Mixed"
