Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
32,"Node 32", 19.00, 23.00, 10.00, 0.00, 0.00
33,"Node 33", 6.00, 46.00, 0.00, 0.00, 0.00
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00
35,"Node 35", 15.00, 32.00, 5.00, 0.00, 0.00
36,"Node 36", 15.00, 31.00, 6.00, 0.00, 0.00
37,"Node 37", 0.00, 0.00, 0.00, 0.00, 0.00
38,"Node 38", 8.00, 44.00, 0.00, 0.00, 0.00
39,"Node 39", 26.00, 12.00, 14.00, 0.00, 0.00
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00
41,"Node 41", 26.00, 24.00, 2.00, 0.00, 0.00
42,"Node 42", 22.00, 15.00, 15.00, 0.00, 0.00
43,"Node 43", 10.00, 38.00, 4.00, 0.00, 0.00
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00
45,"Node 45", 30.00, 13.00, 9.00, 0.00, 0.00
46,"Node 46", 9.00, 42.00, 1.00, 0.00, 0.00
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00
48,"Node 48", 5.00, 45.00, 2.00, 0.00, 0.00
49,"Node 49", 23.00, 19.00, 10.00, 0.00, 0.00
50,"Node 50", 6.00, 46.00, 0.00, 0.00, 0.00
51,"Node 51", 24.00, 13.00, 15.00, 0.00, 0.00
52,"Node 52", 1.00, 51.00, 0.00, 0.00, 0.00
53,"Node 53", 5.00, 46.00, 1.00, 0.00, 0.00
54,"Node 54", 25.00, 18.00, 9.00, 0.00, 0.00
55,"Node 55", 0.00, 0.00, 0.00, 0.00, 0.00
56,"Node 56", 8.00, 39.00, 5.00, 0.00, 0.00
57,"Node 57", 0.00, 0.00, 0.00, 0.00, 0.00
58,"Node 58", 7.00, 44.00, 1.00, 0.00, 0.00
59,"Node 59", 12.00, 35.00, 5.00, 0.00, 0.00
60,"Node 60", 0.00, 0.00, 0.00, 0.00, 0.00
61,"Node 61", 18.00, 20.00, 14.00, 0.00, 0.00
62,"Node 62", 14.00, 33.00, 5.00, 0.00, 0.00
63,"Node 63", 16.00, 30.00, 6.00, 0.00, 0.00
64,"Node 64", 8.00, 44.00, 0.00, 0.00, 0.00
