Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
88,"Node 88", 40.00, 0.00, 12.00, 0.00, 0.00,  2
89,"Node 89", 40.00, 0.00, 12.00, 0.00, 0.00,  1
90,"Node 90", 30.00, 0.00, 22.00, 0.00, 0.00,  2
91,"Node 91", 39.00, 7.00, 6.00, 0.00, 0.00,  2
92,"Node 92", 29.00, 10.00, 13.00, 0.00, 0.00,  2
93,"Node 93", 47.00, 0.00, 5.00, 0.00, 0.00,  2
94,"Node 94", 38.00, 0.00, 14.00, 0.00, 0.00,  2
95,"Node 95", 27.00, 0.00, 25.00, 0.00, 0.00,  1
96,"Node 96", 30.00, 7.00, 15.00, 0.00, 0.00,  2
97,"Node 97", 41.00, 8.00, 3.00, 0.00, 0.00,  1
98,"Node 98", 30.00, 5.00, 17.00, 0.00, 0.00,  2
99,"Node 99", 29.00, 15.00, 8.00, 0.00, 0.00,  2
100,"Node 100", 43.00, 0.00, 9.00, 0.00, 0.00,  2
