Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
84,"Node 84", 10.00, 38.00, 4.00, 0.00, 0.00
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00
86,"Node 86", 14.00, 38.00, 0.00, 0.00, 0.00
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00
88,"Node 88", 7.00, 44.00, 1.00, 0.00, 0.00
89,"Node 89", 13.00, 34.00, 5.00, 0.00, 0.00
90,"Node 90", 14.00, 35.00, 3.00, 0.00, 0.00
91,"Node 91", 17.00, 28.00, 7.00, 0.00, 0.00
92,"Node 92", 13.00, 39.00, 0.00, 0.00, 0.00
93,"Node 93", 15.00, 28.00, 9.00, 0.00, 0.00
94,"Node 94", 15.00, 29.00, 8.00, 0.00, 0.00
95,"Node 95", 14.00, 31.00, 7.00, 0.00, 0.00
96,"Node 96", 16.00, 34.00, 2.00, 0.00, 0.00
97,"Node 97", 7.00, 42.00, 3.00, 0.00, 0.00
98,"Node 98", 19.00, 17.00, 16.00, 0.00, 0.00
99,"Node 99", 29.00, 14.00, 9.00, 0.00, 0.00
100,"Node 100", 17.00, 20.00, 15.00, 0.00, 0.00
101,"Node 101", 13.00, 36.00, 3.00, 0.00, 0.00
