Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 17.00, 0.00, 35.00, 1616.00, 0.00, 0.00,  0,  1
2,"Node 2", 16.00, 0.00, 36.00, 1890.00, 0.00, 0.00,  0,  1
3,"Node 3", 16.00, 0.00, 36.00, 238.00, 0.00, 0.00,  0,  1
4,"Node 4", 23.00, 0.00, 29.00, 336.00, 0.00, 0.00,  0,  2
5,"Node 5", 14.00, 0.00, 38.00, 356.00, 0.00, 0.00,  0,  1
6,"Node 6", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
7,"Node 7", 19.00, 0.00, 33.00, 135.00, 0.00, 0.00,  0,  1
8,"Node 8", 21.00, 0.00, 31.00, 708.00, 0.00, 0.00,  0,  1
9,"Node 9", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 7.00, 0.00, 45.00, 149.00, 0.00, 0.00,  0,  1
11,"Node 11", 25.00, 0.00, 27.00, 55.00, 0.00, 0.00,  0,  1
12,"Node 12", 16.00, 0.00, 36.00, 80.00, 0.00, 0.00,  0,  1
13,"Node 13", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  2
15,"Node 15", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 11.00, 0.00, 41.00, 865.00, 0.00, 0.00,  0,  1
17,"Node 17", 18.00, 0.00, 34.00, 22.00, 0.00, 0.00,  0,  1
18,"Node 18", 19.00, 0.00, 33.00, 16.00, 0.00, 0.00,  0,  1
19,"Node 19", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 10.00, 0.00, 42.00, 160.00, 0.00, 0.00,  0,  1
21,"Node 21", 15.00, 0.00, 37.00, 6.00, 0.00, 0.00,  0,  1
22,"Node 22", 12.00, 0.00, 40.00, 159.00, 0.00, 0.00,  0,  1
23,"Node 23", 25.00, 0.00, 27.00, 2.00, 0.00, 0.00,  0,  1
24,"Node 24", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
26,"Node 26", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 18.00, 0.00, 34.00, 176.00, 0.00, 0.00,  0,  1
35,"Node 35", 4.00, 0.00, 48.00, 2.00, 0.00, 0.00,  0,  1
36,"Node 36", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 9.00, 0.00, 43.00, 6.00, 0.00, 0.00,  0,  1
38,"Node 38", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 23.00, 0.00, 29.00, 132.00, 0.00, 0.00,  0,  1
42,"Node 42", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
43,"Node 43", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 13.00, 0.00, 39.00, 3.00, 0.00, 0.00,  0,  1
48,"Node 48", 16.00, 0.00, 36.00, 17.00, 0.00, 0.00,  0,  1
49,"Node 49", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 18.00, 0.00, 34.00, 15.00, 0.00, 0.00,  0,  1
51,"Node 51", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  2
53,"Node 53", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
56,"Node 56", 25.00, 0.00, 27.00, 130.00, 0.00, 0.00,  0,  1
57,"Node 57", 24.00, 0.00, 28.00, 58.00, 0.00, 0.00,  0,  1
58,"Node 58", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  1
59,"Node 59", 45.00, 0.00, 7.00, 7.00, 0.00, 0.00,  0,  1
60,"Node 60", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 29.00, 0.00, 23.00, 0.00, 0.00, 0.00,  0,  1
62,"Node 62", 28.00, 0.00, 24.00, 19.00, 0.00, 0.00,  0,  1
63,"Node 63", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
64,"Node 64", 22.00, 0.00, 30.00, 4.00, 0.00, 0.00,  0,  1
65,"Node 65", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
66,"Node 66", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  1
67,"Node 67", 27.00, 0.00, 25.00, 27.00, 0.00, 0.00,  0,  1
68,"Node 68", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
69,"Node 69", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
70,"Node 70", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  2
71,"Node 71", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
72,"Node 72", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
74,"Node 74", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
75,"Node 75", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
76,"Node 76", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
77,"Node 77", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
78,"Node 78", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
79,"Node 79", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  2
80,"Node 80", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
81,"Node 81", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
82,"Node 82", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
83,"Node 83", 19.00, 0.00, 33.00, 1.00, 0.00, 0.00,  0,  1
84,"Node 84", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
85,"Node 85", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
86,"Node 86", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  1
87,"Node 87", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
89,"Node 89", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
90,"Node 90", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  1
91,"Node 91", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
92,"Node 92", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
93,"Node 93", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
94,"Node 94", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
95,"Node 95", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
96,"Node 96", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
97,"Node 97", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
98,"Node 98", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
99,"Node 99", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
100,"Node 100", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
