Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
84,"Node 84", 7.00, 40.00, 5.00, 0.00, 0.00
85,"Node 85", 4.00, 48.00, 0.00, 0.00, 0.00
86,"Node 86", 8.00, 44.00, 0.00, 0.00, 0.00
87,"Node 87", 6.00, 45.00, 1.00, 0.00, 0.00
88,"Node 88", 0.00, 0.00, 0.00, 0.00, 0.00
89,"Node 89", 19.00, 30.00, 3.00, 0.00, 0.00
90,"Node 90", 14.00, 33.00, 5.00, 0.00, 0.00
91,"Node 91", 12.00, 33.00, 7.00, 0.00, 0.00
92,"Node 92", 0.00, 0.00, 0.00, 0.00, 0.00
93,"Node 93", 18.00, 26.00, 8.00, 0.00, 0.00
94,"Node 94", 9.00, 37.00, 6.00, 0.00, 0.00
95,"Node 95", 12.00, 37.00, 3.00, 0.00, 0.00
96,"Node 96", 12.00, 38.00, 2.00, 0.00, 0.00
97,"Node 97", 7.00, 36.00, 9.00, 0.00, 0.00
98,"Node 98", 17.00, 21.00, 14.00, 0.00, 0.00
99,"Node 99", 21.00, 17.00, 14.00, 0.00, 0.00
100,"Node 100", 9.00, 19.00, 24.00, 0.00, 0.00
101,"Node 101", 6.00, 42.00, 4.00, 0.00, 0.00
