Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
84,"Node 84", 18.00, 1.00, 33.00, 0.00, 0.00
85,"Node 85", 13.00, 34.00, 5.00, 0.00, 0.00
86,"Node 86", 29.00, 2.00, 21.00, 0.00, 0.00
87,"Node 87", 25.00, 7.00, 20.00, 0.00, 0.00
88,"Node 88", 21.00, 4.00, 27.00, 0.00, 0.00
89,"Node 89", 0.00, 0.00, 0.00, 0.00, 0.00
90,"Node 90", 0.00, 0.00, 0.00, 0.00, 0.00
91,"Node 91", 22.00, 4.00, 26.00, 0.00, 0.00
92,"Node 92", 18.00, 9.00, 25.00, 0.00, 0.00
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00
94,"Node 94", 21.00, 8.00, 23.00, 0.00, 0.00
95,"Node 95", 24.00, 7.00, 21.00, 0.00, 0.00
96,"Node 96", 31.00, 0.00, 21.00, 0.00, 0.00
97,"Node 97", 17.00, 8.00, 27.00, 0.00, 0.00
98,"Node 98", 16.00, 1.00, 35.00, 0.00, 0.00
99,"Node 99", 0.00, 0.00, 0.00, 0.00, 0.00
100,"Node 100", 25.00, 1.00, 26.00, 0.00, 0.00
101,"Node 101", 0.00, 0.00, 0.00, 0.00, 0.00
